id,key,value,type
27031264,highway,trunk,regular
27031264,zh,南三环西路,name
27032728,name,丽泽路,regular
27032728,oneway,yes,regular
27032728,highway,tertiary,regular
27032728,en,Lize Road,name
27035556,layer,1,regular
27035556,bridge,yes,regular
27035556,oneway,yes,regular
27035556,highway,motorway_link,regular
27035588,name,宛平城城墙,regular
27035588,layer,1,regular
27035588,bridge,yes,regular
27035588,barrier,wall,regular
27035588,highway,footway,regular
27035588,en,Wanping City Wall,name
27035627,highway,steps,regular
27035705,name,京广线,regular
27035705,layer,1,regular
27035705,bridge,yes,regular
27035705,source,landsat,regular
27035705,railway,rail,regular
27065915,oneway,yes,regular
27065915,highway,trunk_link,regular
27083778,highway,tertiary_link,regular
27083800,name,马连洼北路,regular
27083800,highway,secondary,regular
27083800,en,Malianwa North Road,name
27083825,highway,residential,regular
27209716,name,东馨园小区,regular
27209716,source,landsat,regular
27209716,landuse,residential,regular
27262137,layer,2,regular
27262137,bridge,yes,regular
27262137,oneway,yes,regular
27262137,highway,motorway_link,regular
27349341,name,永昌南路,regular
27349341,oneway,yes,regular
27349341,highway,tertiary,regular
27349642,name,锦江富园大酒店,regular
27349642,en,JinJiang Fuyuan,name
27349642,tourism,hotel,regular
27997373,highway,tertiary,regular
28508127,name,马家堡西路,regular
28508127,oneway,yes,regular
28508127,highway,primary,regular
28508127,en,Majiapu West Avenue,name
28508127,int_name,Majiapu Xilu,regular
28947814,name,松榆北路,regular
28947814,oneway,yes,regular
28947814,highway,tertiary,regular
29129941,ref,S302,regular
29129941,oneway,yes,regular
29129941,highway,secondary,regular
29130446,highway,tertiary,regular
29131321,name,5th Ring road,regular
29131321,lanes,3,regular
29131321,oneway,yes,regular
29131321,highway,motorway,regular
29131580,name,石景山体育场,regular
29131580,sport,multi,regular
29131580,leisure,stadium,regular
29131580,city,Beijing,addr
29131580,street,石景山路,addr
29131580,housenumber,32,addr
29135445,oneway,yes,regular
29135445,highway,motorway_link,regular
29135445,int_ref,AH3,regular
29136551,waterway,river,regular
29136551,created_by,Potlatch 0.10f,regular
29141428,boat,no,regular
29141428,code,ACB13106,regular
29141428,name,温榆河,regular
29141428,layer,-1,regular
29141428,source,Yahoo,regular
29141428,en,Wenyu River,name
29141428,zh,温榆河,name
29141428,waterway,river,regular
29141428,zhb_code,07CB010301,regular
29141428,nsdi_code,CB4005,regular
29141428,zh_pinyin,wēnyú hé,name
29149994,oneway,yes,regular
29149994,highway,motorway_link,regular
29151508,ref,G1,regular
29151508,name,北京-哈尔滨高速公路,regular
29151508,lanes,3,regular
29151508,oneway,yes,regular
29151508,highway,motorway,regular
29151508,short_name,京哈高速,regular
29155926,name,Huagong Bridge,regular
29155926,lanes,3,regular
29155926,layer,1,regular
29155926,bridge,yes,regular
29155926,oneway,yes,regular
29155926,highway,motorway,regular
29156241,oneway,yes,regular
29156241,highway,motorway_link,regular
29171252,oneway,yes,regular
29171252,highway,motorway_link,regular
29171310,layer,1,regular
29171310,bridge,yes,regular
29171310,oneway,yes,regular
29171310,highway,trunk_link,regular
29171372,name,弘燕桥,regular
29171372,lanes,4,regular
29171372,layer,1,regular
29171372,bridge,yes,regular
29171372,oneway,yes,regular
29171372,highway,trunk,regular
29171602,name,京沪线,regular
29171602,gauge,1435,regular
29171602,usage,main,regular
29171602,en,Jinghu Line,name
29171602,zh,京沪线,name
29171602,railway,rail,regular
29171602,voltage,25000,regular
29171602,frequency,50,regular
29171602,electrified,contact_line,regular
29171602,passenger_lines,2,regular
29178838,highway,footway,regular
29179369,name,西四环中路,regular
29179369,lanes,4,regular
29179369,oneway,yes,regular
29179369,highway,trunk,regular
29179634,bridge,yes,regular
29179634,highway,trunk,regular
29179634,lanes,3,regular
29179634,layer,1,regular
29179634,oneway,yes,regular
29179837,lanes,3,regular
29179837,layer,1,regular
29179837,bridge,yes,regular
29179837,oneway,yes,regular
29179837,highway,trunk,regular
29182551,name,六环,regular
29182551,lanes,2,regular
29182551,oneway,yes,regular
29182551,highway,motorway,regular
29182551,int_ref,AH3,regular
29182551,en,6th Ring Road,name
29201300,name,中华民族园,regular
29201300,leisure,park,regular
29201300,zh,Museo de las Étnias de China,name
29204369,name,蓝靛厂北路,regular
29204369,oneway,yes,regular
29204369,highway,tertiary,regular
29206712,electrified,contact_line,regular
29206712,gauge,1435,regular
29206712,name,丰双线,regular
29206712,railway,rail,regular
29207633,highway,secondary_link,regular
29222375,oneway,yes,regular
29222375,highway,tertiary_link,regular
29222375,maxheight,3.7,regular
29222919,name,八一湖,regular
29222919,natural,water,regular
29228849,name,平台桥,regular
29228849,layer,1,regular
29228849,bridge,yes,regular
29228849,highway,footway,regular
29235120,name,万泉河路,regular
29235120,oneway,yes,regular
29235120,highway,trunk,regular
29235120,zh,万泉河路,name
29235323,ref,G6,regular
29235323,name,北京-拉萨高速公路,regular
29235323,lanes,3,regular
29235323,oneway,yes,regular
29235323,highway,motorway,regular
29235323,alt_name,八达岭高速,regular
29235323,short_name,京藏高速,regular
29235323,en,Badaling Expressway,alt_name
29235613,ref,G4501,regular
29235613,name,6th Ring Road,regular
29235613,lanes,2,regular
29235613,oneway,yes,regular
29235613,highway,motorway,regular
29235613,int_ref,AH1;AH3,regular
29235700,oneway,yes,regular
29235700,highway,motorway_link,regular
29235700,created_by,Potlatch 0.10f,regular
29235761,layer,1,regular
29235761,bridge,yes,regular
29235761,oneway,yes,regular
29235761,highway,motorway_link,regular
29235761,created_by,Potlatch 0.10f,regular
29235816,bridge,yes,regular
29235816,oneway,yes,regular
29235816,highway,motorway_link,regular
29235923,waterway,canal,regular
29241045,area,yes,regular
29241045,highway,pedestrian,regular
29241112,layer,1,regular
29241112,bridge,yes,regular
29241112,highway,pedestrian,regular
29241718,highway,pedestrian,regular
29241718,created_by,Potlatch 0.10f,regular
29253109,name,6th Ring Road,regular
29253109,lanes,2,regular
29253109,oneway,yes,regular
29253109,highway,motorway,regular
29253109,int_ref,AH3,regular
29257270,name,安定门东大街,regular
29257270,oneway,yes,regular
29257270,highway,tertiary,regular
29257270,en,ANDINGMEN DONGDAJIE,name
29257699,name,安定门外大街,regular
29257699,oneway,yes,regular
29257699,highway,secondary,regular
29257699,en,Outer Andingmen Str,name
29257699,int_name,Andingmen Waijie,regular
29257699,trolley_wire,yes,regular
29261504,natural,water,regular
29262816,bridge,yes,regular
29262816,highway,trunk,regular
29262816,int_name,Tonghuihe Beilu,regular
29262816,layer,1,regular
29262816,name,通惠河北路,regular
29262816,en,Tonghuihe North Road,name
29262816,oneway,yes,regular
29268626,oneway,yes,regular
29268626,highway,trunk_link,regular
29276918,highway,trunk,regular
29276918,int_name,Zizhuyuan Lu,regular
29276918,name,紫竹院路,regular
29276918,oneway,yes,regular
29277076,name,北洼路,regular
29277076,highway,tertiary,regular
29292295,railway,subway,regular
29292295,service,yard,regular
29292629,natural,water,regular
29292629,created_by,Potlatch 0.10f,regular
29309166,name,玉蜓桥,regular
29309166,layer,1,regular
29309166,bridge,yes,regular
29309166,oneway,yes,regular
29309166,highway,primary,regular
29309166,int_name,Yuting Qiao,regular
29309223,layer,1,regular
29309223,bridge,yes,regular
29309223,oneway,yes,regular
29309223,highway,secondary_link,regular
29314837,name,十里河桥,regular
29314837,layer,1,regular
29314837,bridge,yes,regular
29314837,oneway,yes,regular
29314837,highway,trunk,regular
29315441,name,南新园中路,regular
29315441,highway,tertiary,regular
29315441,en,Middle Nanxinyuan Road,name
29337231,name,6th Ring Road,regular
29337231,lanes,2,regular
29337231,oneway,yes,regular
29337231,highway,motorway,regular
29337231,int_ref,AH3,regular
29337296,layer,1,regular
29337296,bridge,yes,regular
29337296,oneway,no,regular
29337296,highway,motorway_link,regular
29337423,history,Retrieved from v1,regular
29337423,railway,rail,regular
29377587,oneway,yes,regular
29377587,highway,secondary_link,regular
29377965,ref,S46,regular
29377965,name,京通通燕联络线高速公路,regular
29377965,lanes,2,regular
29377965,oneway,yes,regular
29377965,highway,motorway,regular
29377965,short_name,京通通燕联络线,regular
29421962,name,旱河路,regular
29421962,oneway,yes,regular
29421962,highway,secondary,regular
29421962,int_name,Hanhe Lu,regular
29422141,ref,G109,regular
29422141,name,阜成路,regular
29422141,oneway,yes,regular
29422141,highway,primary,regular
29422141,en,Fucheng Lu,name
29422808,railway,rail,regular
29422808,service,siding,regular
29459154,waterway,river,regular
29549828,highway,trunk,regular
29549828,lanes,3,regular
29549828,layer,-1,regular
29549828,maxheight,4,regular
29549828,name,莲花池东路,regular
29549828,en,Lianhuachi East Road,name
29549828,oneway,yes,regular
29549828,tunnel,yes,regular
29813003,highway,service,regular
30041828,ref,G103,regular
30041828,name,国贸桥,regular
30041828,layer,1,regular
30041828,bridge,yes,regular
30041828,oneway,yes,regular
30041828,highway,primary,regular
30042327,name,复兴门内大街,regular
30042327,oneway,yes,regular
30042327,highway,primary,regular
30042327,en,Fuxingmen Inner Avenue,name
30042327,int_name,Fuxingmen Neidajie,regular
30047653,name,漷马路,regular
30047653,oneway,yes,regular
30047653,highway,secondary,regular
30051573,highway,service,regular
30051573,created_by,Potlatch 0.10f,regular
30052122,ref,S50,regular
30052122,name,南五环,regular
30052122,lanes,3,regular
30052122,oneway,yes,regular
30052122,highway,motorway,regular
30052122,en,5th Ring road,name
30052841,name,周家庄路,regular
30052841,highway,tertiary,regular
30052841,en,Zhoujiazhuang Road,name
30064848,name,罗庄中路,regular
30064848,oneway,no,regular
30064848,highway,tertiary,regular
30065310,oneway,yes,regular
30065310,highway,cycleway,regular
30070686,oneway,yes,regular
30070686,highway,tertiary,regular
30118472,highway,tertiary,regular
30172555,highway,tertiary,regular
30172555,junction,roundabout,regular
30172555,maxheight,4,regular
30186811,oneway,yes,regular
30186811,highway,secondary_link,regular
30186811,en,Side Road of Dongzhimen North Street,name
30187022,cycleway,lane,regular
30187022,highway,secondary_link,regular
30193981,lanes,4,regular
30193981,layer,2,regular
30193981,bridge,yes,regular
30193981,oneway,yes,regular
30193981,highway,motorway,regular
30212559,oneway,yes,regular
30212559,highway,tertiary_link,regular
30212559,maxheight,3.4,regular
30212624,oneway,yes,regular
30212624,highway,tertiary_link,regular
30212624,maxheight,3.4,regular
30212688,name,红领巾桥,regular
30212688,layer,2,regular
30212688,bridge,yes,regular
30212688,oneway,yes,regular
30212688,highway,secondary,regular
30484152,oneway,yes,regular
30484152,highway,secondary_link,regular
30484152,surface,asphalt,regular
30546644,layer,1,regular
30546644,bridge,yes,regular
30546644,oneway,yes,regular
30546644,highway,trunk_link,regular
30546805,layer,1,regular
30546805,bridge,yes,regular
30546805,oneway,yes,regular
30546805,highway,trunk,regular
30546980,layer,1,regular
30546980,bridge,yes,regular
30546980,oneway,yes,regular
30546980,highway,trunk_link,regular
30547254,name,西四环南路,regular
30547254,lanes,4,regular
30547254,oneway,yes,regular
30547254,highway,trunk,regular
30558631,oneway,yes,regular
30558631,highway,motorway_link,regular
30596783,name,东四环中路,regular
30596783,lanes,4,regular
30596783,layer,2,regular
30596783,bridge,yes,regular
30596783,oneway,yes,regular
30596783,highway,trunk,regular
30680703,name,大栅栏商业街,regular
30680703,bicycle,no,regular
30680703,highway,pedestrian,regular
30680703,alt_name,大栅栏商业街,regular
30680703,en,Dashanlan shangye jie,alt_name
30705569,landuse,village_green,regular
30705569,created_by,Potlatch 0.10f,regular
30748377,name,七贤村路,regular
30748377,oneway,no,regular
30748377,highway,residential,regular
30748377,en,Qixiancun Road,name
30748845,name,菊儿胡同,regular
30748845,highway,service,regular
30748845,en,Ju'er Alley,name
30748845,service,alley,regular
30748845,surface,asphalt,regular
30748845,wikidata,Q10508765,regular
30748845,wikipedia,zh:菊儿胡同,regular
30748970,name,护仓胡同,regular
30748970,access,no,regular
30748970,oneway,yes,regular
30748970,bicycle,yes,regular
30748970,highway,service,regular
30748970,en,Hucang Alley,name
30748970,service,alley,regular
30748970,int_name,Hucang Hutong,regular
