id,key,value,type
35870774,exit_to,小红门桥,regular
35870774,highway,motorway_junction,regular
35870782,ref,18,regular
35870782,exit_to,京沪高速;北京经济技术开发区,regular
35870782,highway,motorway_junction,regular
35871130,ref,15,regular
35871130,exit_to,松榆北路,regular
35871130,highway,motorway_junction,regular
36380666,ref,1,regular
36380666,exit_to,北四环,regular
36380666,highway,motorway_junction,regular
36380695,ref,7,regular
36380695,exit_to,七北路;机场北线,regular
36380695,highway,motorway_junction,regular
36380700,ref,10,regular
36380700,exit_to,白马路,regular
36380700,highway,motorway_junction,regular
36544039,ref,7,regular
36544039,exit_to,辛庄;姚家园北路;朝阳公园,regular
36544039,highway,motorway_junction,regular
36551783,highway,traffic_signals,regular
36704579,highway,traffic_signals,regular
36704810,highway,traffic_signals,regular
36704818,highway,traffic_signals,regular
36704893,highway,traffic_signals,regular
36704894,highway,traffic_signals,regular
36704941,ref,11A,regular
36704941,exit_to,建国路,regular
36704941,highway,motorway_junction,regular
60170164,name,The Bookworm,regular
60170164,shop,books,regular
60170164,amenity,restaurant,regular
60170164,internet_access,wlan,regular
64382848,highway,traffic_signals,regular
64384543,highway,traffic_signals,regular
72855718,ref,9,regular
72855718,exit_to,航站楼联络线,regular
72855718,highway,motorway_junction,regular
72855734,name,北京,regular
72855734,barrier,toll_booth,regular
72855736,ref,7,regular
72855736,highway,motorway_junction,regular
76440368,ref,18,regular
76440368,exit_to,赵公口桥;前门,regular
76440368,highway,motorway_junction,regular
76456803,highway,traffic_signals,regular
76456821,highway,traffic_signals,regular
76456822,highway,traffic_signals,regular
76457475,highway,traffic_signals,regular
76457477,highway,traffic_signals,regular
76457480,highway,traffic_signals,regular
76457481,highway,traffic_signals,regular
76457683,highway,traffic_signals,regular
76457684,highway,traffic_signals,regular
76457686,name,沙滩路口西,regular
76457686,highway,bus_stop,regular
76457686,public_transport,stop_position,regular
76457858,highway,traffic_signals,regular
77304678,ref,5,regular
77304678,exit_to,高碑店,regular
77304678,highway,motorway_junction,regular
77732047,highway,traffic_signals,regular
77732581,highway,traffic_signals,regular
77732582,highway,traffic_signals,regular
77734114,highway,traffic_signals,regular
77746327,highway,traffic_signals,regular
77746332,highway,traffic_signals,regular
77746341,highway,traffic_signals,regular
77746350,name,榄杆市,regular
77746350,highway,bus_stop,regular
77746350,public_transport,stop_position,regular
77751976,highway,traffic_signals,regular
79250977,name,北京东,regular
79250977,en,Beijing East,name
79250977,railway,station,regular
79250977,voltage,25000,regular
79250977,public_transport,stop_position,regular
90235913,highway,traffic_signals,regular
90235917,highway,traffic_signals,regular
90235956,highway,traffic_signals,regular
90235958,highway,traffic_signals,regular
100630167,highway,traffic_signals,regular
100631017,highway,traffic_signals,regular
100634747,highway,traffic_signals,regular
100649633,highway,traffic_signals,regular
100655684,highway,traffic_signals,regular
123566435,created_by,JOSM,regular
124171932,highway,traffic_signals,regular
124173668,highway,traffic_signals,regular
124173670,highway,traffic_signals,regular
124178257,highway,traffic_signals,regular
